,title,nationality,box_office_first_week,press_eval,viewers_eval,budget,duration_minutes,season,year,action,animation,arts martiaux,aventure,biopic,bollywood,comédie,comédie dramatique,comédie musicale,divers,drame,epouvante-horreur,erotique,espionnage,expérimental,famille,fantastique,guerre,historique,judiciaire,musical,policier,péplum,romance,science fiction,sport event,thriller,western,stars_producers_director,nombre_acteurs_connus,distributor_important
0,guardians of the galaxy vol. 3,U.S.A.,1323124,3.6,4.2,250000000.0,150,printemps,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
0,guardians of the galaxy vol. 3,U.S.A.,1323124,3.6,4.2,250000000.0,150,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
0,guardians of the galaxy vol. 3,U.S.A.,1323124,3.6,4.2,250000000.0,150,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2,True
1,sexygénaires,France,63084,2.8,2.6,6000000.0,80,été,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,False
2,pornomelancolía,Argentine,3611,3.5,2.6,29000000.0,94,été,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
4,sick of myself,Norvège,14638,3.4,3.4,29000000.0,97,printemps,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
5,la syndicaliste,France,192422,3.3,3.9,29000000.0,121,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
5,la syndicaliste,France,192422,3.3,3.9,29000000.0,121,printemps,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
6,j’irai mourir dans les carpates,France,50838,2.5,3.7,300000.0,96,automne,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
6,j’irai mourir dans les carpates,France,50838,2.5,3.7,300000.0,96,automne,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,True
7,astérix et obélix : l'empire du milieu,France,1882686,2.4,1.8,72000000.0,112,hiver,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,True
7,astérix et obélix : l'empire du milieu,France,1882686,2.4,1.8,72000000.0,112,hiver,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,True
8,whitney houston: i wanna dance with somebody,U.S.A.,64834,2.5,3.5,50000000.0,146,hiver,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
8,whitney houston: i wanna dance with somebody,U.S.A.,64834,2.5,3.5,50000000.0,146,hiver,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,True
9,tout simplement noir,France,255537,3.8,2.8,29000000.0,90,été,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
10,retour chez ma mère,France,643863,2.9,3.0,8600000.0,91,été,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
11,the french dispatch,U.S.A.,197450,3.5,3.3,25000000.0,108,automne,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,True
11,the french dispatch,U.S.A.,197450,3.5,3.3,25000000.0,108,automne,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,True
11,the french dispatch,U.S.A.,197450,3.5,3.3,25000000.0,108,automne,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2,True
12,no hard feelings,U.S.A.,54361,3.0,3.1,45000000.0,103,été,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
13,supercondriaque,France,2151921,2.4,2.4,29000000.0,108,hiver,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,True
14,sur les chemins noirs,France,438142,3.0,3.6,29000000.0,95,printemps,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,False
15,about my father,U.S.A.,25767,2.3,2.0,29100000.0,96,printemps,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
16,to catch a killer,U.S.A.,100146,3.7,3.8,29000000.0,119,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
16,to catch a killer,U.S.A.,100146,3.7,3.8,29000000.0,119,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,True
17,petites,France,12466,3.5,3.8,1200000.0,90,hiver,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
18,emily,Grande-Bretagne,47695,3.1,3.7,29000000.0,130,printemps,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
18,emily,Grande-Bretagne,47695,3.1,3.7,29000000.0,130,printemps,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
19,don't worry darling,U.S.A.,151272,3.1,3.7,35000000.0,123,automne,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
20,antichrist,France,63719,2.2,2.3,11000000.0,110,été,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
20,antichrist,France,63719,2.2,2.3,11000000.0,110,été,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
21,king arthur: legend of the sword,U.S.A.,362905,2.7,3.3,175000000.0,126,printemps,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2,True
21,king arthur: legend of the sword,U.S.A.,362905,2.7,3.3,175000000.0,126,printemps,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2,True
21,king arthur: legend of the sword,U.S.A.,362905,2.7,3.3,175000000.0,126,printemps,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,2,True
22,the flash,U.S.A.,388700,2.5,3.0,190000000.0,144,été,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
22,the flash,U.S.A.,388700,2.5,3.0,190000000.0,144,été,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,True
22,the flash,U.S.A.,388700,2.5,3.0,190000000.0,144,été,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
23,il sol dell’avvenire,Italie,91786,3.9,3.3,13266839.0,95,été,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
23,il sol dell’avvenire,Italie,91786,3.9,3.3,13266839.0,95,été,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
23,il sol dell’avvenire,Italie,91786,3.9,3.3,13266839.0,95,été,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
24,the gentlemen,U.S.A.,238040,3.5,4.1,22000000.0,113,hiver,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2,True
24,the gentlemen,U.S.A.,238040,3.5,4.1,22000000.0,113,hiver,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,True
25,insidious: the red door,U.S.A.,306107,2.1,2.2,16000000.0,108,été,2023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
25,insidious: the red door,U.S.A.,306107,2.1,2.2,16000000.0,108,été,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
26,sisu,Finlande,44625,2.7,3.3,6200000.0,91,été,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
26,sisu,Finlande,44625,2.7,3.3,6200000.0,91,été,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,True
27,farang,France,79426,3.4,3.7,4920000.0,99,été,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
28,il boemo,République tchèque,34803,4.0,4.0,29000000.0,140,été,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
28,il boemo,République tchèque,34803,4.0,4.0,29000000.0,140,été,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,True
29,en los márgenes,Espagne,28720,3.6,3.5,29000000.0,103,été,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
30,une nuit,France,58679,3.2,3.3,29000000.0,90,été,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1,True
30,une nuit,France,58679,3.2,3.3,29000000.0,90,été,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,True
31,asteroid city,U.S.A.,117498,3.3,3.0,25000000.0,106,été,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,True
32,spider-man: across the spider-verse,U.S.A.,550808,4.1,4.5,100000000.0,141,printemps,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
32,spider-man: across the spider-verse,U.S.A.,550808,4.1,4.5,100000000.0,141,printemps,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
32,spider-man: across the spider-verse,U.S.A.,550808,4.1,4.5,100000000.0,141,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
32,spider-man: across the spider-verse,U.S.A.,550808,4.1,4.5,100000000.0,141,printemps,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
33,miraculous - le film,France,660421,2.7,2.7,86000000.0,99,été,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
33,miraculous - le film,France,660421,2.7,2.7,86000000.0,99,été,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
33,miraculous - le film,France,660421,2.7,2.7,86000000.0,99,été,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
33,miraculous - le film,France,660421,2.7,2.7,86000000.0,99,été,2023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
35,elemental,U.S.A.,426818,3.5,3.9,200000000.0,102,été,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
35,elemental,U.S.A.,426818,3.5,3.9,200000000.0,102,été,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
35,elemental,U.S.A.,426818,3.5,3.9,200000000.0,102,été,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
36,indiana jones and the dial of destiny,U.S.A.,1089875,3.5,3.6,300000000.0,154,été,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
36,indiana jones and the dial of destiny,U.S.A.,1089875,3.5,3.6,300000000.0,154,été,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
37,dragon ball super: super hero,Japon,218070,3.0,2.7,29000000.0,99,automne,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
37,dragon ball super: super hero,Japon,218070,3.0,2.7,29000000.0,99,automne,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
37,dragon ball super: super hero,Japon,218070,3.0,2.7,29000000.0,99,automne,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
37,dragon ball super: super hero,Japon,218070,3.0,2.7,29000000.0,99,automne,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
38,les misérables,France,559378,4.3,4.0,29000000.0,105,automne,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,True
38,les misérables,France,559378,4.3,4.0,29000000.0,105,automne,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
39,normale,France,12196,3.6,3.2,4000000.0,87,printemps,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
39,normale,France,12196,3.6,3.2,4000000.0,87,printemps,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
39,normale,France,12196,3.6,3.2,4000000.0,87,printemps,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
40,ant-man and the wasp: quantumania,U.S.A.,735356,2.3,2.5,200000000.0,121,hiver,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
40,ant-man and the wasp: quantumania,U.S.A.,735356,2.3,2.5,200000000.0,121,hiver,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
40,ant-man and the wasp: quantumania,U.S.A.,735356,2.3,2.5,200000000.0,121,hiver,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,True
41,maestro(s),France,111837,3.0,3.1,29000000.0,87,hiver,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,False
42,the batman,U.S.A.,1165588,3.9,4.1,185000000.0,177,printemps,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
42,the batman,U.S.A.,1165588,3.9,4.1,185000000.0,177,printemps,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,True
42,the batman,U.S.A.,1165588,3.9,4.1,185000000.0,177,printemps,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
43,coco,U.S.A.,948846,4.1,4.5,175000000.0,105,automne,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
43,coco,U.S.A.,948846,4.1,4.5,175000000.0,105,automne,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
43,coco,U.S.A.,948846,4.1,4.5,175000000.0,105,automne,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
44,annie colère,France,68373,3.8,4.0,3500000.0,120,automne,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
45,rock'n roll,France,630004,3.3,2.7,17900000.0,123,hiver,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,True
45,rock'n roll,France,630004,3.3,2.7,17900000.0,123,hiver,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,True
46,avatar,U.S.A.,2648596,4.3,4.3,237000000.0,162,hiver,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2,True
46,avatar,U.S.A.,2648596,4.3,4.3,237000000.0,162,hiver,2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,True
47,where the crawdads sing,U.S.A.,110381,2.6,4.0,24000000.0,125,été,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
47,where the crawdads sing,U.S.A.,110381,2.6,4.0,24000000.0,125,été,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,True
48,le bleu du caftan,France,54381,3.8,4.3,29000000.0,122,printemps,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
48,le bleu du caftan,France,54381,3.8,4.3,29000000.0,122,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,True
49,65 - la terre d'avant,U.S.A.,187043,2.0,2.0,45000000.0,93,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,True
49,65 - la terre d'avant,U.S.A.,187043,2.0,2.0,45000000.0,93,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
49,65 - la terre d'avant,U.S.A.,187043,2.0,2.0,45000000.0,93,printemps,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
50,inception,U.S.A.,1305534,4.1,4.5,160000000.0,148,été,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3,True
50,inception,U.S.A.,1305534,4.1,4.5,160000000.0,148,été,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,3,True
51,barbaque,France,126252,3.3,3.6,29000000.0,88,automne,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,False
52,vaincre ou mourir,France,23152,1.3,3.9,29000000.0,100,hiver,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,True
52,vaincre ou mourir,France,23152,1.3,3.9,29000000.0,100,hiver,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
53,reste un peu,France,152695,3.7,3.3,29000000.0,93,automne,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
54,"simone, le voyage du siècle",France,486242,3.1,4.1,29000000.0,140,automne,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
54,"simone, le voyage du siècle",France,486242,3.1,4.1,29000000.0,140,automne,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
55,midsommar,U.S.A.,61418,3.7,3.5,9000000.0,147,été,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
56,black adam,U.S.A.,713308,2.1,2.9,200000000.0,125,automne,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
56,black adam,U.S.A.,713308,2.1,2.9,200000000.0,125,automne,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
56,black adam,U.S.A.,713308,2.1,2.9,200000000.0,125,automne,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
57,l'astronaute,France,35020,3.5,3.9,29000000.0,110,hiver,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,False
58,ich bin dein mensch,Allemagne,16932,3.1,3.7,29000000.0,105,été,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,True
58,ich bin dein mensch,Allemagne,16932,3.1,3.7,29000000.0,105,été,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,True
58,ich bin dein mensch,Allemagne,16932,3.1,3.7,29000000.0,105,été,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
58,ich bin dein mensch,Allemagne,16932,3.1,3.7,29000000.0,105,été,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
59,harry potter à l'école des sorciers,U.S.A.,2316734,3.7,4.1,125000000.0,152,hiver,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
59,harry potter à l'école des sorciers,U.S.A.,2316734,3.7,4.1,125000000.0,152,hiver,2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
59,harry potter à l'école des sorciers,U.S.A.,2316734,3.7,4.1,125000000.0,152,hiver,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
60,top gun: maverick,U.S.A.,1529608,3.7,4.3,170000000.0,131,printemps,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
61,hokusai,Japon,52791,3.2,3.3,29000000.0,90,printemps,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
61,hokusai,Japon,52791,3.2,3.3,29000000.0,90,printemps,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
61,hokusai,Japon,52791,3.2,3.3,29000000.0,90,printemps,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,True
62,bullet train,U.S.A.,491067,3.2,3.9,90000000.0,127,été,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
62,bullet train,U.S.A.,491067,3.2,3.9,90000000.0,127,été,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
63,terrible jungle,France,83427,3.7,2.0,29000000.0,91,été,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
63,terrible jungle,France,83427,3.7,2.0,29000000.0,91,été,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
64,en corps,France,332971,3.4,4.1,7780000.0,118,printemps,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,True
64,en corps,France,332971,3.4,4.1,7780000.0,118,printemps,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,True
64,en corps,France,332971,3.4,4.1,7780000.0,118,printemps,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,True
65,une belle course,France,180034,3.1,3.9,29000000.0,91,automne,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
65,une belle course,France,180034,3.1,3.9,29000000.0,91,automne,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
65,une belle course,France,180034,3.1,3.9,29000000.0,91,automne,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
66,l'innocent,France,192906,4.1,3.9,4000000.0,100,automne,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,True
